,commit-hash,BleuScore
50,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,9.157231061812019e-232
51,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,8.27449233497142e-232
52,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,6.957990942521506e-232
53,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,8.27449233497142e-232
54,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,8.27449233497142e-232
55,941c0a8c3c3bb8dbe0b18cf07b6599b9ca13a6e4,8.100298998468934e-232
56,3d079942f4f4e38a32a613d8512803800f2fcca3,1.1454162233972301e-231
57,3d079942f4f4e38a32a613d8512803800f2fcca3,9.109159947227211e-232
58,3d079942f4f4e38a32a613d8512803800f2fcca3,7.195772492214365e-232
59,bdea7be456240d25acdc37c25c99083efe7f7c33,9.296304027068154e-232
60,f02169ea715763fd8df6386e15f5e5f402bab751,8.861727614944267e-232
61,f02169ea715763fd8df6386e15f5e5f402bab751,9.705093268380358e-232
62,f02169ea715763fd8df6386e15f5e5f402bab751,9.631763962281371e-232
63,f02169ea715763fd8df6386e15f5e5f402bab751,9.631763962281371e-232
64,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
65,15e62ad26d3eed587b2e2889421170eab5ab01ef,6.450971520179538e-232
66,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
67,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
68,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
69,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
70,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
71,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
72,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
73,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
74,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
75,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
76,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
77,15e62ad26d3eed587b2e2889421170eab5ab01ef,0.0
